面數,核發日期-有效期限,溫泉業者,營業處所,泉質類別,核發機關
1,960502,礁溪湯圍風呂(宜蘭縣政府),宜蘭縣礁溪鄉德陽路99-11號,碳酸氫鹽泉,宜蘭縣政府
2,961022,錦水溫泉飯店,苗栗縣泰安鄉錦水村橫龍山72號,碳酸氫鹽泉,苗栗縣政府
3,970219,綠島朝日溫泉(東部海岸國家風景區管理處),臺東縣綠島鄉下南寮段1373地號,氯化物硫酸鹽泉,臺東縣政府
4,971126,八仙詩泊溫旅,新北市八里區下罟里1鄰中山路3段112號,氯化物碳酸氫鹽泉,新北市政府
5,1040620,有馬溫泉MOTEL,新北市土城區中央路2段392號,碳酸氫鹽泉,新北市政府
6,1020715,瀧乃湯浴室,臺北市北投區光明路244號,酸性-鐵-氯化物硫酸鹽泉,臺北市政府
7,1050315-1080314,新光兆豐休閒農場,花蓮縣鳳林鎮林榮里永福街20號,氯化物碳酸鹽泉,花蓮縣政府
8,980525,美代溫泉飯店,臺北市北投區光明路281號,硫酸鹽泉,臺北市政府
9,980601,知本老爺大酒店,臺東縣卑南鄉溫泉村龍泉路113巷23號,碳酸氫鹽泉,臺東縣政府
,(效期屆滿失效),,,,
10,980603,蘇澳觀光冷泉(蘇澳鎮公所),宜蘭縣蘇澳鎮冷泉路6-4號,碳酸泉,宜蘭縣政府
11,1040609,原鄉溫泉民宿,花蓮縣瑞穗鄉瑞祥村5鄰五福路325號,氯化物碳酸氫鹽泉,花蓮縣政府
12,980724,北投公園露天溫泉浴池,臺北市北投區中山路6號,氯化物硫酸鹽泉,臺北市政府
13,1040813-1070812,安通溫泉飯店,花蓮縣玉里鎮樂合里溫泉36-3號,硫磺氯化物硫酸鹽泉,花蓮縣政府
14,1040730-1070729,水美溫泉會館,臺北市北投區光明路224號,酸性-鐵-硫磺-氯化物硫酸鹽泉,臺北市政府
15,981006(1050324廢止),虎爺溫泉會館,花蓮縣瑞穗鄉瑞祥村101號,碳酸氫鹽氯化物泉,花蓮縣政府
16,1041007-1071006,吉祥農莊民宿,花蓮縣玉里鎮樂合里5鄰溫泉35-6號,硫磺氯化物硫酸鹽泉,花蓮縣政府
17,1041015-1071014,南方莊園渡假飯店,桃園市中壢區樹籽路8號,碳酸氫鹽泉,桃園市政府
18,990201,花蓮理想大地渡假飯店,花蓮縣壽豐鄉理想路1號,氯化物泉,花蓮縣政府
19,1020410,綠楊溫泉景觀山莊,南投縣仁愛鄉大同村仁和路208號,碳酸氫鹽泉,南投縣政府
20,990203,春和大飯店,宜蘭縣礁溪鄉仁愛路26號,碳酸氫鹽泉,宜蘭縣政府
21,1050317-1080316,神木谷假期大飯店,臺中市和平區東關路1段溫泉巷7號,碳酸氫鹽泉,臺中市政府
22,990308(1030113廢止),箱根溫泉生活館,南投縣埔里鎮蜈蚣里11鄰中山路1段62號,碳酸氫鹽泉,南投縣政府
